species,PA,bio12,bio1
Aneides_aeneus,0,1403,171
Aneides_aeneus,0,1026,81
Aneides_aeneus,0,1355,151
Aneides_aeneus,0,1026,108
Aneides_aeneus,0,1041,108
Aneides_aeneus,0,1442,155
Aneides_aeneus,0,973,93
Aneides_aeneus,0,1160,113
Aneides_aeneus,0,1213,105
Aneides_aeneus,0,1009,114
Aneides_aeneus,0,1316,116
Aneides_aeneus,0,1202,127
Aneides_aeneus,0,1279,162
Aneides_aeneus,0,1226,88
Aneides_aeneus,0,1757,89
Aneides_aeneus,0,1409,129
Aneides_aeneus,0,1214,128
Aneides_aeneus,0,1256,123
Aneides_aeneus,0,969,98
Aneides_aeneus,0,1185,116
Aneides_aeneus,0,1269,142
Aneides_aeneus,0,1291,151
Aneides_aeneus,0,1262,99
Aneides_aeneus,0,1022,124
Aneides_aeneus,0,984,94
Aneides_aeneus,0,1181,114
Aneides_aeneus,0,1162,155
Aneides_aeneus,0,1735,99
Aneides_aeneus,0,1158,133
Aneides_aeneus,0,1682,84
Aneides_aeneus,0,1457,142
Aneides_aeneus,0,1995,100
Aneides_aeneus,0,1036,110
Aneides_aeneus,0,1165,151
Aneides_aeneus,0,1472,98
Aneides_aeneus,0,1477,166
Aneides_aeneus,0,1030,127
Aneides_aeneus,0,1089,116
Aneides_aeneus,0,1163,146
Aneides_aeneus,0,1165,152
Aneides_aeneus,0,1095,121
Aneides_aeneus,0,1467,155
Aneides_aeneus,0,1831,95
Aneides_aeneus,0,1431,145
Aneides_aeneus,0,1115,113
Aneides_aeneus,0,1339,78
Aneides_aeneus,0,1318,148
Aneides_aeneus,0,996,133
Aneides_aeneus,0,1040,100
Aneides_aeneus,0,1735,99
Aneides_aeneus,0,1907,118
Aneides_aeneus,0,1131,152
Aneides_aeneus,0,1039,122
Aneides_aeneus,0,1473,152
Aneides_aeneus,0,1206,175
Aneides_aeneus,0,1730,136
Aneides_aeneus,0,970,94
Aneides_aeneus,0,1387,85
Aneides_aeneus,0,1460,113
Aneides_aeneus,0,1709,96
Aneides_aeneus,0,1032,106
Aneides_aeneus,0,1002,94
Aneides_aeneus,0,1600,128
Aneides_aeneus,0,1030,128
Aneides_aeneus,0,1017,124
Aneides_aeneus,0,1020,125
Aneides_aeneus,0,1326,115
Aneides_aeneus,0,1128,129
Aneides_aeneus,0,1082,129
Aneides_aeneus,0,1095,136
Aneides_aeneus,0,972,98
Aneides_aeneus,0,1191,163
Aneides_aeneus,0,1572,127
Aneides_aeneus,0,1493,154
Aneides_aeneus,0,1413,147
Aneides_aeneus,0,1071,112
Aneides_aeneus,0,1168,106
Aneides_aeneus,0,1375,88
Aneides_aeneus,0,1149,117
Aneides_aeneus,0,972,94
Aneides_aeneus,0,1080,101
Aneides_aeneus,0,1709,96
Aneides_aeneus,0,1088,121
Aneides_aeneus,0,1134,130
Aneides_aeneus,0,1063,109
Aneides_aeneus,0,1023,114
Aneides_aeneus,0,1087,141
Aneides_aeneus,0,1163,105
Aneides_aeneus,0,1195,96
Aneides_aeneus,0,1041,87
Aneides_aeneus,0,1087,135
Aneides_aeneus,0,1197,136
Aneides_aeneus,0,1843,88
Aneides_aeneus,0,1030,72
Aneides_aeneus,0,1223,180
Aneides_aeneus,0,1151,108
Aneides_aeneus,0,1338,136
Aneides_aeneus,0,1686,105
Aneides_aeneus,0,1123,89
Aneides_aeneus,0,1739,110
Aneides_aeneus,0,1203,87
Aneides_aeneus,0,1006,107
Aneides_aeneus,0,1735,99
Aneides_aeneus,0,1186,94
Aneides_aeneus,0,1225,103
Aneides_aeneus,0,1113,133
Aneides_aeneus,0,1459,169
Aneides_aeneus,0,1407,124
Aneides_aeneus,0,1576,102
Aneides_aeneus,0,1408,166
Aneides_aeneus,0,1299,98
Aneides_aeneus,0,1459,97
Aneides_aeneus,0,997,92
Aneides_aeneus,0,1190,71
Aneides_aeneus,0,1387,85
Aneides_aeneus,0,1221,152
Aneides_aeneus,0,1323,102
Aneides_aeneus,0,1500,87
Aneides_aeneus,0,1732,89
Aneides_aeneus,0,1952,107
Aneides_aeneus,0,1306,126
Aneides_aeneus,0,1481,147
Aneides_aeneus,0,1069,100
Aneides_aeneus,0,1461,169
Aneides_aeneus,0,1266,105
Aneides_aeneus,0,1076,141
Aneides_aeneus,0,1096,76
Aneides_aeneus,0,1289,128
Aneides_aeneus,0,1082,129
Aneides_aeneus,0,1365,180
Aneides_aeneus,0,1192,131
Aneides_aeneus,0,1062,86
Aneides_aeneus,0,1070,126
Aneides_aeneus,0,1026,108
Aneides_aeneus,0,992,132
Aneides_aeneus,0,1459,116
Aneides_aeneus,0,1154,144
Aneides_aeneus,0,1095,78
Aneides_aeneus,0,1434,149
Aneides_aeneus,0,1778,118
Aneides_aeneus,0,1197,136
Aneides_aeneus,0,1273,142
Aneides_aeneus,0,1449,164
Aneides_aeneus,0,1168,127
Aneides_aeneus,0,1030,128
Aneides_aeneus,0,1204,104
Aneides_aeneus,0,1162,132
Aneides_aeneus,0,987,112
Aneides_aeneus,0,1600,128
Aneides_aeneus,0,1137,151
